0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Tarifa Ofertas Semana 09,,Válida del 01 de Marzo al 06 de Marzo del 2021,,,,,I.V.A. no Incluido,0.1,0.15,0.2,,
Código,Sección,Producto,€/Kg. o €/Unidad,+ 5 kgs. o piezas (aplicado 10% dto.),+ 10 kgs. o piezas (aplicado 15% dto.),+ 25 kgs. o piezas (aplicado 20% dto.),Tipo I.V.A. aplicable,Origen,Origen,Origen,Origen,Su Pedido,
,,¡¡¡Productos Recomendados!!!,,,,,,,,,,,
3112,,Melón piel de sapo (muy dulce y de textura suave) ¡¡¡Excelente calidad!!!,2.49,2.241,2.1165000000000003,-,0.04,Nacional,,,,,
6152,,Naranja amarga BIO,1.49,1.341,1.2665,-,0.04,Málaga,,,,,
5183,,Naranja amarga local (solo 3 kgs. en stock),1.29,-,-,-,0.04,Granada,,,,,
3085,,"Naranja dulce local variedad cañadú (variedad antigua en peligro de extinción, cero acidez) ¡¡¡Fruta única!!!",1.09,0.9810000000000001,0.9265000000000001,0.8720000000000001,0.04,Granada,,,,,
6186,,"Naranja dulce variedad grano de oro BIO. Finca con más de 20 años en ecológico, regada con agua de manantial (principìo de temporada) ¡¡¡Fruta única!!!",1.49,1.341,1.2665,1.192,0.04,Granada,,,,,
1208,Frutas,"Naranja Navelina mesa BIO mediana/grande recolectada con hoja según pedido. Finca con más de 20 años en ecológico, regada con agua de manantial. Fruta de temporada ¡¡¡Excelente calidad, dulce y jugosa!!! ¡¡¡Súper oferta!!!",1.19,1.071,1.0114999999999998,0.952,0.04,Granada,,,,,
1208,,"Naranja Navelina mesa BIO (PED.MIN. 400 KGS.) mediana/grande recolectada con hoja según pedido. Finca regada con agua de manantial. Fruta de temporada ¡¡¡Excelente calidad, dulce y jugosa!!! ¡¡¡Súper oferta!!!",0.64,Precio para un pedido mínimo de 400 kgs.,,,0.04,Granada,,,,,
1208,,"Naranja Navelina mesa BIO CON DEFECTOS mediana/grande recolectada con hoja según pedido. Finca con más de 20 años en ecológico, regada con agua de manantial. Fruta de temporada ¡¡¡Excelente calidad, dulce y jugosa!!! ¡¡¡Súper oferta!!!",0.39,-,-,-,0.04,Granada,,,,,
3136,,Naranja Navelina mesa (producción propia). Año Cero de producción ecológica,0.89,0.801,0.7565,0.712,0.04,Granada,,,,,
3309,,Naranja sanguina local ,1.39,1.251,1.1815,-,0.04,Granada,,,,,
3006-3694,,Papaya Intenzza/Siluet local,2.29,2.061,1.9465000000000001,1.832,0.04,Granada,,,,,
1586,,Papaya Siluet BIO (madurada en planta),3.69,3.3209999999999997,3.1365,2.952,0.04,Málaga,,,,,
3043,,Pera Conferencia,1.98,1.782,1.683,-,0.04,Nacional,,,,,
1123,,Pera Conferencia BIO,2.98,2.682,2.533,-,0.04,Nacional,,,,,
3163,,Pera Melón local (meloncillo de Perú). Fruta empezando la temporada pero ya está bien madura,3.89,3.5010000000000003,3.3065,-,0.04,Granada,,,,,
1179,,Piña BIO,2.89,2.601,-,-,0.04,Costa Rica,,,,,
3020,,"Piña madurada en planta (recibida por avión) ¡¡¡Súper buena, color intenso, muy aromática!!!",2.98,2.682,2.533,-,0.04,Costa Rica,,,,,
